1, 1, 38.7, 279.2
2, 1, 40.1, 91
3, 1, 41.3, 99.7
4, 1, 43.4, 83.2
5, 1, 38.7, 397
6, 1, 39.3, 1702.2
7, 1, 39.3, 891.9
8, 1, 42.7, 205.6
9, 1, 39.8, 1043.3
10, 1, 40.2, 863.9
11, 1, 40.6, 770.3
12, 1, 37.9, 2378.1
13, 1, 41.1, 65.3
14, 1, 38.6, 362.8
15, 1, 40.6, 147
16, 1, 38.6, 1250.1
17, 1, 38.5, 1264.6
18, 1, 41.4, 615.8
19, 1, 40.3, 89.7
20, 1, 38.7, 151.9
21, 1, 38.2, 2483.7
22, 1, 40.5, 1444.9
23, 1, 40.4, 2087.8
24, 1, 38.4, 1478.1
25, 1, 38.1, 562.4
26, 1, 37.4, 2735.2
27, 1, 38.7, 1307.6
28, 1, 41.2, 268.5
29, 1, 41.8, 1038.6
30, 1, 39.3, 526.9
31, 1, 38.6, 323.5
32, 1, 40.7, 1640.9
33, 1, 40.7, 116.5
34, 1, 39.7, 685.1
35, 1, 36, 3114.6
36, 1, 37.9, 2735.1
37, 1, 40.1, 3036.2
38, 1, 38.6, 1494.9
39, 1, 38, 2824.7
40, 1, 39.6, 1078.3
41, 1, 39.6, 139.2
42, 1, 38.8, 3477.8
43, 1, 38.9, 864.3
44, 1, 39, 171.9
45, 1, 37.3, 1323.9
46, 1, 39.1, 474
47, 1, 40, 431.3
48, 1, 39.6, 1397.4
49, 1, 40.6, 391.6
50, 1, 40.9, 333.7
51, 1, 36.2, 2282
52, 1, 40.1, 1603.7
53, 1, 39.4, 318.5
54, 1, 39.8, 443.7
55, 1, 43.8, 0
56, 1, 39, 2123
57, 1, 41.2, 185.5
58, 1, 38.6, 2007.4
59, 1, 42.3, 2.8
60, 1, 41.6, 1480
61, 1, 38.2, 2244.8
62, 1, 40.4, 489.7
63, 1, 38.5, 779.6
64, 1, 38.8, 1320.1
65, 1, 37.5, 3274.1
66, 1, 37.6, 1569.3
67, 1, 39.6, 186.5
68, 1, 40.6, 1204.7
69, 1, 38.1, 1476.5
70, 1, 41, 440.4
71, 1, 38.8, 534.8
72, 1, 37.2, 1842.6
73, 1, 39.8, 330.2
74, 1, 41.3, 348.2
75, 1, 38, 2258.1
76, 1, 43.3, 311.7
77, 1, 39, 283.8
78, 1, 39.8, 2206.5
79, 1, 38.7, 814.9
80, 1, 37.6, 2244.7
81, 1, 41.6, 29.8
82, 1, 40.3, 333.4
83, 1, 39.4, 2207.3
84, 1, 39.9, 84.4
85, 1, 39.5, 25.2
86, 1, 37.9, 1413.9
87, 1, 41.6, 52.8
88, 1, 37.7, 1660.3
89, 1, 39.5, 512.7
90, 1, 40.2, 10.4
91, 1, 40.5, 59.2
92, 1, 35.7, 1900.9
93, 1, 38.7, 1449.8
94, 1, 42.1, 47.7
95, 1, 40.5, 35
96, 1, 43.4, 620.8
97, 1, 39.6, 460.5
98, 1, 39.8, 94
99, 1, 40.7, 500.1
100, 1, 39.2, 600.8
